agency_name,separation,Trump_Separations
AA00-ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,Transfer Out - Individual Transfer,2
AB**-UNSPECIFIED,Transfer Out - Individual Transfer,0
AB00-AMERICAN BATTLE MONUMENTS COMMISSION,Transfer Out - Individual Transfer,0
AF**-UNSPECIFIED,Transfer Out - Individual Transfer,0
AF02-AIR FORCE INSPECTION AGENCY (FO),Transfer Out - Individual Transfer,0
AF03-AIR FORCE OPERATIONAL TEST AND EVALUATION CENTER,Transfer Out - Individual Transfer,0
AF04-AIR FORCE COMMUNICATIONS AGENCY,Transfer Out - Individual Transfer,0
AF05-AIR FORCE INTELLIGENCE ANALYSIS AGENCY,Transfer Out - Individual Transfer,0
AF06-AIR FORCE AUDIT AGENCY,Transfer Out - Individual Transfer,8
AF07-AIR FORCE OFFICE OF SPECIAL INVESTIGATIONS,Transfer Out - Individual Transfer,4
AF08-AIR FORCE OFFICE OF SECURITY POLICE,Transfer Out - Individual Transfer,0
AF09-AIR FORCE PERSONNEL CENTER,Transfer Out - Individual Transfer,7
AF0B-U.S. AIR FORCE ACADEMY,Transfer Out - Individual Transfer,6
"AF0D-U.S. AIR FORCES, EUROPE",Transfer Out - Individual Transfer,22
AF0J-AIR EDUCATION AND TRAINING COMMAND,Transfer Out - Individual Transfer,83
"AF0M-HEADQUARTERS, AIR FORCE RESERVE",Transfer Out - Individual Transfer,99
"AF0N-HEADQUARTERS, U.S. AIR FORCE",Transfer Out - Individual Transfer,0
AF0R-PACIFIC AIR FORCES,Transfer Out - Individual Transfer,50
AF0U-25 AF,Transfer Out - Individual Transfer,1
AF0V-AIR FORCE SPECIAL OPERATIONS COMMAND,Transfer Out - Individual Transfer,8
AF11-AIR FORCE MANPOWER AGENCY,Transfer Out - Individual Transfer,0
AF12-AIR FORCE PUBLIC AFFAIRS AGENCY,Transfer Out - Individual Transfer,1
AF13-HQ USAF AND SUPPORT ELEMENTS,Transfer Out - Individual Transfer,19
AF14-AIR FORCE INSTALLATION CONTRACTING AGENCY,Transfer Out - Individual Transfer,0
AF15-AIR FORCE CIVIL ENGINEER CENTER,Transfer Out - Individual Transfer,0
AF16-AIR FORCE MORTUARY AFFAIRS OPERATIONS,Transfer Out - Individual Transfer,0
AF17-AF INSTALLATION AND MISSION SUPPORT,Transfer Out - Individual Transfer,25
AF1B-AIR FORCE MANPOWER ANALYSIS AGENCY,Transfer Out - Individual Transfer,0
AF1C-AIR COMBAT COMMAND,Transfer Out - Individual Transfer,82
AF1G-AIR FORCE LOGISTICS MANAGEMENT AGENCY,Transfer Out - Individual Transfer,0
AF1L-AIR MOBILITY COMMAND,Transfer Out - Individual Transfer,65
AF1M-AIR FORCE MATERIEL COMMAND,Transfer Out - Individual Transfer,184
AF1P-AIR FORCE REAL PROPERTY AGENCY,Transfer Out - Individual Transfer,0
AF1Q-HQ AF FLIGHT STANDARDS AGENCY,Transfer Out - Individual Transfer,0
"AF1S-HEADQUARTERS, AIR FORCE SPACE COMMAND",Transfer Out - Individual Transfer,56
AF1W-AIR FORCE ENGINEERING AND SERVICES CENTER,Transfer Out - Individual Transfer,0
AF1Y-AIR FORCE CIVILIAN CAREER TRAINING,Transfer Out - Individual Transfer,14
AF20-AIR FORCE AGENCY FOR MODELING/SIMULATION,Transfer Out - Individual Transfer,0
AF24-HQ USAF DIRECT SUPPORT ELEMENT,Transfer Out - Individual Transfer,0
AF25-AF-WIDE SUPPORT ELEMENT,Transfer Out - Individual Transfer,0
AF2A-AIR FORCE COST ANALYSIS AGENCY,Transfer Out - Individual Transfer,0
AF2D-AIR FORCE PERSONNEL OPERATIONS AGENCY,Transfer Out - Individual Transfer,0
AF2E-AIR FORCE LEGAL OPERATIONS AGENCY,Transfer Out - Individual Transfer,7
AF2F-AIR FORCE MEDICAL SERVICES CENTER,Transfer Out - Individual Transfer,3
AF2H-AIR FORCE COMBAT OPERATIONS STAFF,Transfer Out - Individual Transfer,0
AF2I-AIR NATIONAL GUARD SUPPORT CENTER,Transfer Out - Individual Transfer,7
